# of domain, cohortId1, cohortId2, diff
614 , 9611 , 13489 , -3878
615 , 13489 , 9608 , 3881
616 , 9611 , 9611 , 0
617 , 13489 , 13489 , 0
618 , 6077 , 6077 , 0
619 , 6077 , 13489 , -7412
620 , 6077 , 6077 , 0
621 , 6077 , 6077 , 0
622 , 6077 , 6077 , 0
623 , 6077 , 6077 , 0
624 , 6077 , 6077 , 0
625 , 6077 , 6077 , 0
626 , 6077 , 6077 , 0
627 , 6077 , 6077 , 0
628 , 6073 , 6073 , 0
629 , 6073 , 6073 , 0
630 , 6073 , 13485 , -7412
631 , 6365 , 6073 , 292
632 , 6073 , 6073 , 0
633 , 6073 , 6365 , -292
634 , 6365 , 13761 , -7396
635 , 6073 , 13485 , -7412
636 , 5484 , 6073 , -589
637 , 5484 , 5484 , 0
638 , 5484 , 13196 , -7712
639 , 13196 , 12893 , 303
640 , 12893 , 5484 , 7409
641 , 5785 , 5785 , 0
642 , 13196 , 13192 , 4
643 , 13192 , 13196 , -4
644 , 13196 , 13192 , 4
645 , 13192 , 12893 , 299
646 , 12897 , 13192 , -295
647 , 13192 , 13196 , -4
648 , 12897 , 12893 , 4
649 , 12893 , 12893 , 0
650 , 12893 , 12897 , -4
651 , 12897 , 5781 , 7116
652 , 5484 , 5484 , 0
653 , 5484 , 12893 , -7409
654 , 5484 , 5484 , 0
655 , 5484 , 5484 , 0
656 , 5484 , 5484 , 0
657 , 5484 , 5484 , 0
658 , 5484 , 5781 , -297
659 , 5484 , 5781 , -297
660 , 5781 , 5484 , 297
661 , 5781 , 5484 , 297
662 , 5781 , 5781 , 0
663 , 5781 , 5781 , 0
664 , 5785 , 5781 , 4
665 , 5781 , 5785 , -4
666 , 5785 , 5785 , 0
667 , 5781 , 5781 , 0
668 , 5781 , 5781 , 0
669 , 5781 , 5785 , -4
670 , 5781 , 5785 , -4
671 , 5781 , 5781 , 0
672 , 5781 , 5781 , 0
673 , 5785 , 5785 , 0
674 , 5781 , 5781 , 0
675 , 5781 , 5781 , 0
676 , 5781 , 5781 , 0
677 , 5785 , 5785 , 0
678 , 5785 , 5781 , 4
679 , 5781 , 5781 , 0
680 , 5781 , 5785 , -4
681 , 21767 , 5781 , 15986
682 , 21763 , 21763 , 0
683 , 21767 , 21763 , 4
684 , 21767 , 21763 , 4
685 , 21767 , 21767 , 0
686 , 21767 , 21767 , 0
687 , 21767 , 21767 , 0
688 , 21767 , 21767 , 0
689 , 21767 , 5785 , 15982
690 , 21767 , 21767 , 0
691 , 21767 , 21767 , 0
692 , 21410 , 21767 , -357
693 , 21767 , 21767 , 0
694 , 21410 , 5488 , 15922
695 , 5488 , 5488 , 0
696 , 21410 , 21767 , -357
697 , 21410 , 21767 , -357
698 , 21410 , 21410 , 0
699 , 21410 , 21410 , 0
700 , 21410 , 21410 , 0
701 , 21410 , 21410 , 0
702 , 21410 , 21410 , 0
703 , 21410 , 21410 , 0
704 , 21410 , 21410 , 0
705 , 21410 , 21410 , 0
706 , 21410 , 21410 , 0
707 , 21410 , 21410 , 0
708 , 21410 , 21410 , 0
709 , 21410 , 21410 , 0
710 , 31229 , 21410 , 9819
711 , 21410 , 21410 , 0
712 , 21410 , 21410 , 0
713 , 21410 , 21410 , 0
714 , 21410 , 31229 , -9819
715 , 21410 , 21410 , 0
716 , 21410 , 21410 , 0
717 , 31229 , 31229 , 0
718 , 21410 , 31229 , -9819
719 , 25891 , 16666 , 9225
720 , 25891 , 16666 , 9225
721 , 16666 , 25891 , -9225
722 , 25891 , 25891 , 0
723 , 25891 , 16666 , 9225
724 , 16666 , 16666 , 0
725 , 25891 , 16666 , 9225
726 , 16666 , 25891 , -9225
727 , 25861 , 16666 , 9195
728 , 16666 , 16666 , 0
729 , 16666 , 16666 , 0
730 , 16666 , 16666 , 0
731 , 16666 , 16637 , 29
732 , 16666 , 16666 , 0
733 , 1702 , 1702 , 0
734 , 1702 , 16666 , -14964
735 , 16666 , 16666 , 0
736 , 16666 , 16666 , 0
737 , 16666 , 1702 , 14964
738 , 16666 , 16916 , -250
739 , 16666 , 16666 , 0
740 , 16666 , 16666 , 0
741 , 16666 , 16916 , -250
742 , 26218 , 16666 , 9552
743 , 16666 , 16666 , 0
744 , 16916 , 16916 , 0
745 , 16916 , 25891 , -8975
746 , 16666 , 1913 , 14753
747 , 16916 , 16917 , -1
748 , 16916 , 16916 , 0
749 , 16916 , 16916 , 0
750 , 16916 , 16916 , 0
751 , 16916 , 16916 , 0
752 , 16890 , 16916 , -26
753 , 16890 , 16916 , -26
754 , 16916 , 16890 , 26
755 , 16890 , 16890 , 0
756 , 16890 , 16890 , 0
757 , 16890 , 16917 , -27
758 , 16890 , 16890 , 0
759 , 16890 , 16890 , 0
760 , 16890 , 16890 , 0
761 , 16890 , 16890 , 0
762 , 16890 , 16890 , 0
763 , 16890 , 16890 , 0
764 , 16890 , 16890 , 0
765 , 16890 , 16890 , 0
766 , 16890 , 1892 , 14998
767 , 16890 , 16890 , 0
768 , 16890 , 16890 , 0
769 , 16890 , 16890 , 0
770 , 1892 , 16890 , -14998
771 , 16890 , 16890 , 0
772 , 16890 , 16890 , 0
773 , 16890 , 16890 , 0
774 , 16890 , 16890 , 0
775 , 16890 , 16890 , 0
776 , 16890 , 16890 , 0
777 , 17438 , 17438 , 0
778 , 17438 , 16890 , 548
779 , 17438 , 16890 , 548
780 , 17438 , 17438 , 0
781 , 17438 , 17438 , 0
782 , 17438 , 16890 , 548
783 , 17438 , 17438 , 0
784 , 17438 , 17438 , 0
785 , 17438 , 17438 , 0
786 , 17438 , 17438 , 0
787 , 17438 , 17438 , 0
788 , 17438 , 17438 , 0
789 , 17438 , 17438 , 0
790 , 17438 , 17438 , 0
791 , 17438 , 17438 , 0
792 , 17438 , 17438 , 0
793 , 17438 , 17438 , 0
794 , 17438 , 17438 , 0
795 , 17438 , 17438 , 0
796 , 17438 , 17438 , 0
797 , 17438 , 16890 , 548
798 , 16890 , 16890 , 0
799 , 16890 , 17438 , -548
800 , 16890 , 17438 , -548
801 , 16890 , 16890 , 0
802 , 16890 , 16890 , 0
803 , 16890 , 16890 , 0
804 , 16890 , 16890 , 0
805 , 16890 , 16890 , 0
806 , 16890 , 16890 , 0
807 , 16890 , 16890 , 0
808 , 16890 , 17438 , -548
809 , 17438 , 17438 , 0
810 , 17438 , 16890 , 548
811 , 16890 , 17438 , -548
812 , 17438 , 17438 , 0
813 , 17438 , 17438 , 0
814 , 17438 , 17438 , 0
815 , 17438 , 17438 , 0
816 , 17438 , 17438 , 0
817 , 17438 , 17438 , 0
818 , 17438 , 17438 , 0
819 , 17438 , 17438 , 0
820 , 17438 , 17438 , 0
821 , 17438 , 17438 , 0
822 , 17438 , 17438 , 0
823 , 17438 , 17438 , 0
824 , 17438 , 17438 , 0
825 , 17438 , 17438 , 0
826 , 17438 , 17438 , 0
827 , 17438 , 17438 , 0
828 , 17438 , 17438 , 0
829 , 2332 , 17438 , -15106
830 , 17438 , 17438 , 0
831 , 17438 , 17438 , 0
832 , 17438 , 17438 , 0
833 , 17438 , 17438 , 0
834 , 2332 , 17438 , -15106
835 , 17438 , 2332 , 15106
836 , 2332 , 2332 , 0
837 , 2332 , 2332 , 0
838 , 2332 , 2332 , 0
839 , 2332 , 2332 , 0
840 , 2332 , 2332 , 0
841 , 2332 , 2332 , 0
842 , 2332 , 2332 , 0
843 , 2332 , 2332 , 0
844 , 2332 , 9816 , -7484
845 , 2332 , 2332 , 0
846 , 2332 , 2332 , 0
847 , 2332 , 2332 , 0
